Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61025435790992,5.90257639328904,3.1631046641997003,1.49861244544114,0.8344337301258591,1.0909602905995,0.811182833982437,1.0660432973165999,1.1162254466590602,1.00679179804598,1.15976136281082,1.1800624515273,1.02835355322521,1.15973224102019,1.25303469339807,1.4960107498099802,1.51776306738226,1.77316149579812,1.95693033637535,1.56158352186598,1.50835119142367,1.71734336020825,1.98319210023857,1.8981271696887698,1.88160773079824,1.8252921920221101,1.7267527817919202,1.80658104876105,1.88024626821933
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.6774181630089411,0.866666666666667,1.83845726870669,1.4874693568014699,1.5904477715515,2.5613213172285696,5.814611430097481,9.221391247550619,15.835612494602001,19.7910562837317,7.19870995886825,6.609876619945919,5.8320703526990405,5.18515609043347,6.798488305761549,11.2927989022036,6.46913540647603,7.491859978765159,7.92059705341887,6.57062374895073,2.31184429608315,1.72106685656023,4.7484622855293,1.36520500493695,2.37407743105011,4.03586631059319,4.03789228228131,4.456516455203929,4.63139998056932,4.61280178044414,3.35822685621992,3.47205782554488,4.498983850199349,3.8007206166289103,3.72018273537596,3.9317334575955294,3.98996808025536,4.18369196870598,4.50702686461164,4.41920882770442,4.34170536924231,4.532974149096,4.980970139722599,5.1695225126401105,4.97840616326683,5.03302153151162,5.31947047089403,5.474300539099599,5.62100381759843,16.0243477859885,5.566284221288201,5.71428571428571,7.96398508965014,5.136050704841,5.18571335969404,5.23666520610018,5.289885738468049,5.2397170552790095,5.50466338464095
Australia,8.58293664258675,8.64156901650291,8.83568804691864,9.2264399086758,9.75907343064386,10.6223213909378,10.3280924384173,10.955624798711801,11.2101677075527,11.600554350485199,11.802890541296899,11.8091175697612,11.9516315549822,12.7796868460389,12.559668731327,12.6598998056575,12.416791776526802,13.231896138669699,14.069858615406,14.1290919801571,15.024916008712198,15.4325008374087,15.4249318091975,14.640084130392301,15.2209752959341,15.3084102043407,14.9805731533736,15.7469578022492,15.7961677816625,16.519862915120402,15.4467304615853,15.315320527655599,15.3392397827951,15.416312899756598,15.6073928871465,15.9921425409473,16.3612036480804,16.566938488956097,17.511624178290802,17.5969565676847,17.689656972797998,17.769535878019898,17.9574992112521,17.692029313308602,18.1478978904379,18.117853570518,18.1206789094546,18.5028519848662,18.2830412439057,18.2074249597772,17.5814449601144,17.2681103655036,16.9692565563587,16.3986459950997,15.755876100915598,15.7864494009173,15.872079537985101,15.7386474030825,15.475516485656
Austria,4.37331882803344,4.49636164096378,4.75536167309783,5.155193747438441,5.39100398806667,5.2521965333262495,5.361724682623731,5.4177367270534695,5.711110104197981,6.00632517835173,6.78880730716105,6.953651911970461,7.448516814437999,7.93086698527507,7.56269727826075,7.176844854723701,7.7212500123917405,7.42806328393075,7.60137180396718,8.158846402209441,6.92847899968117,7.416160613895889,7.11212494091738,6.874373273419019,7.21427866724751,7.23076635313884,7.144304851624759,7.62341981462749,7.03203069825559,7.10244899742991,7.58936421003276,8.04911377864628,7.35520218898572,7.31124250265602,7.34490086966953,7.69726474086588,8.1542733229493,8.059697483986339,8.107272236986589,7.8888193221395895,7.92978551259517,8.44410916140459,8.58331713469893,9.168344020499859,9.275613726244089,9.26611381933193,8.96156938002267,8.58780201813347,8.49967361637859,7.721144201177401,8.36501501063443,8.13547478127942,7.7236144142977095,7.753699576040679,7.253383781344941,7.306745265570401,7.25562651573804,7.482751479215961,7.14663762463773
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.034641709736,9.21881446843625,6.04443240314278,7.14076050700467,6.2629985520600195,5.955757970071571,5.20159732062347,5.03556278506044,4.9778844938708495,4.85797500861232,4.97105086598912,4.77364631620475,4.66596100074034,4.17046185982682,4.10401492806838,4.36733259054916,4.0273202468015405,3.2058079778122206,3.3754022411392794,2.80980409272443,2.6672315528080897,3.11345739632547,3.3090269739486198,3.3334037748063303,3.4221006454167795,3.33390642946498,3.34706182082623,3.24435690442685,3.22140218320925
Burundi,,,0.0151355887896757,0.0160810763401628,0.0157522803483603,0.011850523756308998,0.0150358177395587,0.0146535043026667,0.0164837140725158,0.0214827050164489,0.0179182942567985,0.0207762039660057,0.0205454028470538,0.020343289543759996,0.0251410421376756,0.0208077594539027,0.0233389111796482,0.0256869599418438,0.0259987683781079,0.0271546556497901,0.0352825490414924,0.0369577547978212,0.0360024723002141,0.0456586972801155,0.0476120816360448,0.0486274825125367,0.0480254238762203,0.0496019309576035,0.0439866635788514,0.0504404596963032,0.0349331554071285,0.0413303113088896,0.0351767782608917,0.0362190486670183,0.0355994713648024,0.0367460135586109,0.0363029713982089,0.0375686239919766,0.037183351429231,0.0366994025337267,0.0407595638789372,0.0321812151810745,0.0328156515144871,0.0246050135465073,0.0224350812879083,0.0217247938418899,0.0249742042758467,0.0241661839789393,0.0246120404070635,0.0238161554747209,0.0368850314318101,0.0413019905550161,0.042180438832307,0.0429755787605046,0.0396168300827047,0.0403541956650932,0.0438596407590311,0.0526461137470086,0.0527946300523678
Belgium,9.94159407412845,10.103871994919801,10.6411896304115,11.3869287398935,11.0536547171057,11.141655554871098,11.042019427975399,11.2172567535028,12.325687126277002,12.8154496066362,13.0101788101329,12.5634251757595,13.4726952569298,14.255486402811801,13.8369655455829,12.4583038966604,13.241679785973599,12.875438717491301,13.807057935873802,14.239233815260198,13.723296273689199,12.579555069681598,11.926684782316501,10.3120794235109,10.6969663854393,10.5974402503959,10.4315417139407,10.4471727823271,10.135143850569,10.813514942144,10.9667747158004,11.390890046725,11.1825020572101,10.9187637432787,11.3586901344388,11.3023711303289,11.760782629132098,11.4563592173649,11.7034113861324,11.295253988713,11.4405560297525,11.5043206822099,10.7279886303644,11.1313145272907,10.9412245516012,10.555782313639302,10.3005719211244,9.843116218225619,9.98415215425847,9.23170144231094,9.771847058065529,8.65806434779962,8.54961568145011,8.65727005028135,8.04349554115034,8.44406111087655,8.32375671826537,8.1554911149366,8.179711061136139
Benin,0.06635419969510001,0.0520486725753437,0.054208782862419,0.0475884671771672,0.0553036182680249,0.0571148865980008,0.0423826477102961,0.0522840572249999,0.0551707486921423,0.0707503568475618,0.0969526888705913,0.0985562265355316,0.127712815538893,0.122481397419967,0.127701367849099,0.135891058558414,0.0777842409510843,0.0865099047749418,0.10301926852752302,0.101339802278225,0.13909728419081102,0.11231016987397802,0.12510524561723801,0.11255315673005,0.12085659731636099,0.17398636251660002,0.155688131966732,0.11885730085714999,0.118496786967423,0.130855058692703,0.0763283799562478,0.064083941418733,0.0675193485133083,0.0760626908698149,0.07000086626072,0.077892803246843,0.17229293342994903,0.19740055310361396,0.20091881720637803,0.21308197263487302,0.22283892124989002,0.26000716715408606,0.290594072977493,0.31646596342079,0.326451486534908,0.34827390815816606,0.46611292127085,0.519232293173456,0.5001773617426409,0.525450061952798,0.552218690776448,0.5263809334256011,0.487190487574895,0.501769487097627,0.535635874149484,0.5663787369886539,0.6650066335101529,0.658601659819357,0.688722324311593
Burkina Faso,0.00911190032321528,0.0187299012376956,0.017003109471793,0.017504237927798,0.0215752798010391,0.0198412560383113,0.0195336696877687,0.0192168294177924,0.0188949449452581,0.0218898760747676,0.0254263775932548,0.0262689271964913,0.0276984000821263,0.0284431665293256,0.0339984221971856,0.0357491379554067,0.0333149400576854,0.0389683717582291,0.0533416936923694,0.0610098901981757,0.0634202458596036,0.0797953835313291,0.080427237963868,0.0809237546843647,0.0618369699859479,0.0616868109713521,0.0605719124782223,0.0635186632072412,0.0662633149332726,0.0957372289249026,0.0669615015628701,0.0662977125300246,0.0656117868886138,0.0649046587203125,0.0631584265972766,0.0634298921295397,0.0694127507752537,0.076883034277082,0.0802281250267807,0.0824271078472734,0.0904552405502056,0.0853943153674019,0.0829733955568723,0.0869247478234043,0.0867191135679651,0.0856806414276332,0.101235265478276,0.11787795267607198,0.13002285611201,0.127467638080145,0.133929621329696,0.13679962865119,0.16353622526529699,0.173961011998565,0.171727227334835,0.18773519354614998,0.18770429601503802,0.21205387147847302,0.21618648458802997
Bangladesh,0.294804972059424,0.296923774676308,0.317335600560764,0.354673770403621,0.35420147784251294,0.36064111017267203,0.355616101158531,0.365431270830069,0.406076996178432,0.38278990037694,0.378902958854808,0.352141847216234,0.0526721472940189,0.0673355940009706,0.0678004996696208,0.0695023899503199,0.0777388348240071,0.0791166721181198,0.0797553925523134,0.0857520098275433,0.0959117170728525,0.0970033258684292,0.10245319396866999,0.0956099829480202,0.10318767433179801,0.112760309188052,0.12301038830351599,0.12399499623496801,0.13796111170239,0.133612957227004,0.111658248374604,0.102557667973101,0.10946095683248801,0.11390962377826198,0.12010181085501101,0.14370070007768398,0.142966514547859,0.157872086010643,0.156908687897926,0.16063627621627402,0.16959394165633102,0.198172463991475,0.20705312623159502,0.21240196291760002,0.22286879235314605,0.235263647224499,0.25475238444328896,0.266296779341981,0.288141373384069,0.306664813200526,0.342739973529334,0.364566607143118,0.38402515485951794,0.39656611450694,0.41289852271315597,0.458797539455164,0.466776363121019,0.49290661293368804,0.5128373137702961
Bulgaria,2.83390112126359,3.26992007420763,3.83589181806542,4.25978092742826,5.262987915533981,5.64565194179349,5.90543671471388,6.638369161079369,7.11221440252304,7.8699328161673705,7.21342437205919,7.53255267592467,7.7156567011030495,7.983550221222281,8.21095803598331,8.37787747877417,8.347946172669849,8.62876646248721,9.236529547430731,8.96813200633587,8.74423866745434,9.03643153048149,10.107275314027302,10.108336620155999,9.74996147055374,9.99278347627662,10.217299937677,10.214134001325801,9.718843491348721,9.77126186722229,8.43743537292696,6.7895630480029405,6.45537954540452,6.57081484123639,6.33853534592095,6.506015238755531,6.58389879210688,6.420784815523651,6.12708140915848,5.39544862850862,5.30343792027879,5.76591100519881,5.56706695192302,6.1592264865516295,6.11388569962394,6.25149171455386,6.442554698565531,6.9738426562203095,6.67728964769189,5.7720906721967005,6.064417500191669,6.759360768871501,6.175840637031389,5.480986880455441,5.84584197704908,6.2259760426002195,5.855926256295401,6.223901903165751,5.854773433933519
Bahrain,3.54443479920458,10.548966938457001,9.191856301259099,6.710612881858291,8.74202790779056,6.55408361432413,3.38430534191934,5.12474752626747,5.50090205928673,6.17582764260788,12.1941845752962,13.798416783546902,16.0665587320151,23.0558642658239,21.456873144163698,21.585964583177,23.171889647783605,24.6386635836778,24.010739856801894,23.726111713982302,21.9165955815136,22.788877900139,25.491603899956697,20.7560278571627,22.6107339041777,24.305148917096602,25.4038290293856,25.4577342916515,26.1467998572651,24.3993568650601,21.6564131414503,20.3035926569654,23.457125269078304,24.3746876235519,24.327225750104603,24.0199539469716,24.4875669865431,24.2382678883292,25.273058202989397,24.2718446601942,23.893712101834197,23.4965235466992,23.4241096933917,23.063844213748897,21.606418540307498,23.2804780258155,23.476064326503,22.212054166135697,22.222321905180603,20.867877560492,20.9370245248472,20.3653240261534,20.4393734489693,21.8702401239821,22.6185245866057,22.3055968824648,21.1811953067521,20.3336240367799,19.592975838515603
"Bahamas, The",3.74962568016653,4.7462451897601605,5.995986522643941,5.55780587403801,8.118110766239111,9.3992074825075,7.465217480410709,11.1724795408233,10.2857584085523,10.6260737223389,15.198339788399801,38.7167584850541,36.4920753613736,43.373140001873104,39.917911455660295,43.69844093279329,33.513843745302,49.3026382546931,32.796646846864704,33.6453048919613,37.9430692011454,13.0112158126704,10.2757673197627,8.95999466891757,8.07045273646988,6.44049126307129,5.906597774244831,5.848749306312049,6.224020109031691,7.734934733731099,6.94696499588256,7.2028719536257695,9.510277113687279,7.747219301643519,7.39535035472306,7.4238254829948,6.93710824705965,6.15945685422271,7.8114246386785995,7.58340899739172,7.180123806807701,7.038576687440929,7.41085039508284,7.18567463903961,6.77343184077418,6.218292863123679,6.10212909930158,6.1353875519803704,6.13943202979516,17.2196796338673,5.86021141839656,6.73001782620424,10.011524254567801,8.47037547458615,7.069139966273191,6.33351149118119,5.7948312222331,5.6319728407933,5.86046391017413
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3703190063588,4.90694204132451,3.7721382827629797,3.28516722481821,0.802738048030663,0.8801140962155352,1.11305356816019,2.2724413621800403,2.88136746057802,2.8103147098336696,3.7188337737285604,3.66394586733001,3.87296978312167,3.94983864404113,4.13634366347749,4.3103768804450695,4.75643898612161,5.0202097326160295,5.5297167671613705,5.51132310566671,5.62410571591573,6.48426064542703,6.091586841728589,6.16778985366107,5.59718744920459,5.71826479677561,6.5972430375313404,6.75809942551679,6.78113160660171
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.799784080871529,9.440847557386698,8.592404072043848,7.446039652309801,6.32345751442261,5.643515793604079,5.75590551181102,5.83671048729861,5.68378190485649,5.483338649119981,5.30982673671616,5.211234793724639,5.247554418669901,5.364024330928559,5.73167144665661,5.84442226571736,6.12290112862944,5.99835602162253,6.32557670903134,6.016768059376661,6.47694667440346,6.1594996902832495,6.3172942666249,6.331081659966719,6.27684109501799,5.7842171906639805,5.81064068180991,5.92108199982649,6.25402079970694
Belize,0.47795107963679,0.387222808870116,0.7153873008049939,0.622363100883542,0.8182964809981659,0.794770071617037,0.7377729816731899,1.0736777662434498,0.8846422263386899,1.13758814109282,0.9903997250049108,1.14598341279699,1.2400984648295,1.13446873018083,1.17294847873272,1.32080681954616,1.30244259784081,1.44549237170596,1.55677639863285,1.4792359626898401,1.32288992798768,1.2424443661399198,1.13772229777009,1.1060775253497601,1.07489038985662,1.15623521992748,1.21102324127641,1.30413633678076,1.39287130703876,1.6389184121741298,1.75949326593941,2.24970701490039,2.57302237500257,2.32764073371284,2.23126850093465,2.22263024130034,1.6849199663016001,2.07604648538869,1.9544143705917099,1.71563191744881,1.81957866645101,2.0778772719431697,1.98180550103473,1.89289903053877,1.5912279940401297,1.6561075130903,1.75054404162862,1.77239149118319,1.6296093500466102,4.64000254246715,1.73662257919464,1.9380079700577801,2.04141407865657,1.44631147185333,1.3866642517955903,1.8286296914048898,1.7643913257093502,1.7297584991018602,1.7751278483623099
Bermuda,3.5513738738738705,3.8684835164835203,3.3837124463519297,3.151928721174,4.12443762781186,3.5864870259481,3.95460784313725,4.09011538461538,4.22050943396226,3.667,4.13370909090909,4.23115384615385,4.66832103321033,7.90654275092937,8.309119850187269,8.64858490566038,8.82285714285714,8.51513108614232,7.936044776119401,8.58814126394052,7.98194622279129,7.0608900999091695,7.1423470215874,8.06438405149294,7.86393846481045,7.92718548982389,7.34908159353107,9.88871026292589,11.0612713592815,13.2742645434306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0.274752178106357,0.27928153578724796,0.28927193191893996,0.31289436379905,0.37431991184910496,0.374066476596767,0.410061862692137,0.449587673863772,0.506849761327574,0.5806381867691229,0.5544656070779599,0.668291299921951,0.7627849184775641,0.722532739814071,0.7188147319028659,0.8116444292842842,0.89569191728963,0.8570882090059531,0.9406001482521998,0.8673390313035649,0.836585642979162,0.8412649738516,0.747988423113596,0.7231629790392821,0.66748429087865,0.667594741288074,0.598657913001937,0.625507230990634,0.65478978371562,0.743098803368547,0.82740469222949,0.822938915968381,0.952391991137448,1.06934950321058,1.21069396335133,1.09152918253123,1.04380000791848,1.0431557830956601,1.06338818695525,0.9640228139147731,0.9503140193887819,0.9195542690860541,0.9413436531133771,1.02292658059561,1.0386982354479701,1.090735668172,1.18780911907456,1.25962003415202,1.3393054148159098,1.40316587403475,1.49672635891359,1.6106999827963502,1.66222170915514,1.7605141156523099,1.88389931104579,1.8776911887063998,1.95887859684466,1.9878756560101298,2.00032766265544
Brazil,0.649885857061245,0.6621305351815899,0.701775493581078,0.7060495123389721,0.699884334182385,0.676455200716995,0.75037499196875,0.7518873653864621,0.856553523540682,0.9090934291536941,0.9857880811893059,1.0528578193712,1.14523763153846,1.2953617501169599,1.3700880806544098,1.4099056701398602,1.4131806573516699,1.44950777667735,1.53686271988334,1.59759916005655,1.5501211443696103,1.39035226474718,1.36109829978614,1.2872435101086102,1.27513315493103,1.33986351990277,1.44004760300955,1.47297773012822,1.45768526717776,1.46263195627121,1.33057522748249,1.35300162566594,1.35265678686564,1.37189195989322,1.3969529227805901,1.4905577425744299,1.5970628913890001,1.6835811622297001,1.7125162218888401,1.74455845685071,1.7888288436811102,1.80342619486481,1.76720718153163,1.7015086427618602,1.77580703557726,1.77572199746423,1.77490938079997,1.84883593997795,1.9380268626479,1.8094606429673898,2.0322038162317697,2.11184451477929,2.26687811082304,2.4018595205759903,2.49936201612059,2.34736573083425,2.14349752363003,2.16442150357383,2.04187419904738
Barbados,0.7461480182695849,0.838739329702483,1.1192229487196002,0.816172442131215,0.765951370061555,0.8722978569759791,1.13388031378662,1.42551582220983,1.85482273300146,2.01870458852847,1.79593126687457,2.01606877335033,2.08004620677948,1.97624199838734,2.00855123588249,2.30902509770148,2.14761454698203,2.37168934363338,2.5208792965627502,2.3926603460554503,2.67337591327638,2.70722395932032,2.5401333448783396,2.69133917603055,2.9279393173198502,3.3055373448841,3.5654974194627296,3.65261693254577,3.6532648569332404,3.8086097530014102,3.75575339263336,3.74171477442805,4.48856936361216,3.75186171926221,3.8883624708844704,4.02323701378053,4.00678532243388,4.362692638981589,4.71533486303252,4.80671461056368,4.56703411648147,4.8441433572849295,5.01055141666941,5.030419456787599,4.94037045513163,5.13896931094383,5.297774574285969,5.3103505190149995,6.35836911404342,16.4350229627864,5.635679879205049,5.9013311565549005,7.78997384542718,5.20587842163394,4.52909681383306,4.52112838953201,4.58365698850237,4.19244730617792,4.36087077867709
